year_original,HPI,year
1999-01-01,89.24213959160099,1999.0
1999-02-01,90.560607284094,1999.0849315068492
1999-03-01,91.288558519046,1999.1616438356164
1999-04-01,92.15338250547299,1999.2465753424658
1999-05-01,92.999174880992,1999.3287671232877
1999-06-01,93.80059064973901,1999.4136986301369
1999-07-01,95.077946773656,1999.495890410959
1999-08-01,96.080050128602,1999.5808219178082
1999-09-01,97.204709510211,1999.6657534246576
1999-10-01,98.21241963547699,1999.7479452054795
1999-11-01,99.270912340158,1999.8328767123287
1999-12-01,100.358313364173,1999.9150684931508
2000-01-01,100.919817075924,2000.0
2000-02-01,101.894221520209,2000.0846994535518
2000-03-01,102.651012231826,2000.1639344262296
2000-04-01,104.347652448137,2000.2486338797814
2000-05-01,106.009542831883,2000.3306010928961
2000-06-01,107.930273259792,2000.4153005464482
2000-07-01,108.924528398142,2000.4972677595629
2000-08-01,110.129174110203,2000.5819672131147
2000-09-01,111.370845355051,2000.6666666666667
2000-10-01,112.969418735919,2000.7486338797814
2000-11-01,114.77024902514,2000.8333333333333
2000-12-01,116.950496542808,2000.9153005464482
2001-01-01,118.837638179823,2001.0
2001-02-01,120.406708256095,2001.0849315068492
2001-03-01,121.556149824549,2001.1616438356164
2001-04-01,122.739598665224,2001.2465753424658
2001-05-01,123.177646164559,2001.3287671232877
2001-06-01,124.439708287649,2001.4136986301369
2001-07-01,125.601493254195,2001.495890410959
2001-08-01,126.943099298836,2001.5808219178082
2001-09-01,128.146097575849,2001.6657534246576
2001-10-01,129.133296700481,2001.7479452054795
2001-11-01,130.181564970522,2001.8328767123287
2001-12-01,130.509512116739,2001.9150684931508
2002-01-01,131.353007157939,2002.0
2002-02-01,131.773576323876,2002.0849315068492
2002-03-01,132.967908393112,2002.1616438356164
2002-04-01,134.527804117107,2002.2465753424658
2002-05-01,136.681798019726,2002.3287671232877
2002-06-01,138.77183664336098,2002.4136986301369
2002-07-01,140.541564298272,2002.495890410959
2002-08-01,142.30793784384,2002.5808219178082
2002-09-01,144.203128212948,2002.6657534246576
2002-10-01,145.848389555648,2002.7479452054795
2002-11-01,147.40931984499,2002.8328767123287
2002-12-01,147.858348868597,2002.9150684931508
2003-01-01,148.524578696305,2003.0
2003-02-01,149.697894363462,2003.0849315068492
2003-03-01,150.972863478587,2003.1616438356164
2003-04-01,151.641762645852,2003.2465753424658
2003-05-01,151.878977969611,2003.3287671232877
2003-06-01,152.37873096009895,2003.4136986301369
2003-07-01,152.891998465947,2003.495890410959
2003-08-01,153.564692849932,2003.5808219178082
2003-09-01,154.607058817421,2003.6657534246576
2003-10-01,155.901888729028,2003.7479452054795
2003-11-01,157.682690534835,2003.8328767123287
2003-12-01,159.303469358938,2003.9150684931508
2004-01-01,160.572798397076,2004.0
2004-02-01,161.987351244241,2004.0846994535518
2004-03-01,163.253347891753,2004.1639344262296
2004-04-01,165.531488508673,2004.2486338797814
2004-05-01,166.17451500047,2004.3306010928961
2004-06-01,167.51673600905198,2004.4153005464482
2004-07-01,168.1412050196,2004.4972677595629
2004-08-01,169.289109575131,2004.5819672131147
2004-09-01,170.158806379763,2004.6666666666667
2004-10-01,172.048341529495,2004.7486338797814
2004-11-01,173.05218993018502,2004.8333333333333
2004-12-01,174.31857746744498,2004.9153005464482
2005-01-01,175.759620979095,2005.0
2005-02-01,177.93560050374802,2005.0849315068492
2005-03-01,179.460165432892,2005.1616438356164
2005-04-01,180.493222041588,2005.2465753424658
2005-05-01,180.71004488115503,2005.3287671232877
2005-06-01,180.08312753788,2005.4136986301369
2005-07-01,180.011988111802,2005.495890410959
2005-08-01,179.700981201399,2005.5808219178082
2005-09-01,180.14763783527303,2005.6657534246576
2005-10-01,180.012924980201,2005.7479452054795
2005-11-01,180.81193546927503,2005.8328767123287
2005-12-01,180.437692282811,2005.9150684931508
2006-01-01,180.626940319662,2006.0
2006-02-01,179.543716594558,2006.0849315068492
2006-03-01,180.049996295989,2006.1616438356164
2006-04-01,179.34221832494703,2006.2465753424658
2006-05-01,178.325603418521,2006.3287671232877
2006-06-01,176.495018140946,2006.4136986301369
2006-07-01,175.601656575647,2006.495890410959
2006-08-01,174.917550691687,2006.5808219178082
2006-09-01,173.847766438678,2006.6657534246576
2006-10-01,173.73147335161,2006.7479452054795
2006-11-01,171.911224631938,2006.8328767123287
2006-12-01,171.28788233804198,2006.9150684931508
2007-01-01,170.577562398829,2007.0
2007-02-01,171.28227662184798,2007.0849315068492
2007-03-01,171.851347140529,2007.1616438356164
2007-04-01,171.648802972293,2007.2465753424658
2007-05-01,170.934030428007,2007.3287671232877
2007-06-01,169.706867085278,2007.4136986301369
2007-07-01,169.228932165289,2007.495890410959
2007-08-01,167.98661420560498,2007.5808219178082
2007-09-01,168.040513980295,2007.6657534246576
2007-10-01,167.412345734768,2007.7479452054795
2007-11-01,166.95787392121798,2007.8328767123287
2007-12-01,165.528701005597,2007.9150684931508
2008-01-01,164.753593754047,2008.0
2008-02-01,163.53180996665702,2008.0846994535518
2008-03-01,162.22251586188,2008.1639344262296
2008-04-01,160.953305266464,2008.2486338797814
2008-05-01,160.576911042437,2008.3306010928961
2008-06-01,160.546970733037,2008.4153005464482
2008-07-01,159.673788871954,2008.4972677595629
2008-08-01,159.491786485577,2008.5819672131147
