year,income
2000,65770
2001,66856
2002,66972
2003,68560
2004,70396
2005,73308
2006,77318
2007,78838
2008,79636
2009,78542
2010,78176
2011,81000
2012,82848
2013,84690
2014,88758
2015,92674
2016,97348
2017,100386
2018,106052
2019,116724
2020,115316
2021,121832
2022,126506
