year,HPI
2021-02-01,259.584777181315985
2021-03-01,262.786506313628024
2021-04-01,265.396913116528992
2021-05-01,268.017787118172976
2021-06-01,270.588828725780957
2021-07-01,274.361314487214031
2021-08-01,276.907839035595998
2021-09-01,280.457108695950978
2021-10-01,282.208975349702996
2021-11-01,283.468239718447023
2021-12-01,287.822492821576020
2022-01-01,291.446646891548994
2022-02-01,297.644316647962000
2022-03-01,301.440636216907990
2022-04-01,305.160246487601000
2022-05-01,309.494298382606019
2022-06-01,310.489061098198988
2022-07-01,310.557923312577998
2022-08-01,308.303239929036010
2022-09-01,305.230087813660020
2022-10-01,303.929007498455007
2022-11-01,303.477905875399983
2022-12-01,303.225917292685040
